Instance    LS-PBO	DeciLS-PBO	SCIP	Hybrid	PBO-IHS	NuPBO	Gurobi-comp(1t)	Gurobi-heur(1t)	DLS-PBO	FiberSCIP	Gurobi-comp(32t)	Gurobi-heur(32t)	ParLS-PBO(32t)	V1	V2	ParLS-PBO(4t)	ParLS-PBO(8t)	ParLS-PBO(16t)	
2club200v15p5scn.wecnf	-70[W]	-70[W]	-49	-69	-35	-70[W]	-70[W]	-69	-70[W]	-61	-69	-70[W]	-70[W]	-70[W]	-70[W]	-70[W]	-70[W]	-70[W]	
a2864-99blp.wecnf	-257[W]	300	-71	-74	N/A	-257[W]	-72	-72	-257[W]	-72	-72	-72	-257[W]	-257[W]	-257[W]	-257[W]	-257[W]	-257[W]	
ab51-40-100.wecnf	-1142123	-1143902	N/A	-611104	-702443	-1272494	-1285220[W]	-1285220[W]	-1263009	N/A	-1285220[W]	-1285210	-1283392	-1272504	-1285215	-1274687	-1284276	-1284556	
ab67-40-100.wecnf	-1088601	-1088023	N/A	-625416	-517340	-1166108	-1169070	-1169070	-1166718	N/A	-1169070	-1169070	-1168507	-1168320	-1169073[W]	-1169073[W]	-1168983	-1168205	
ab69-40-100.wecnf	-1094877	-1095910	N/A	-750900	-616611	-1182924	-1184900[W]	-1184900[W]	-1183105	N/A	-1184900[W]	-1184900[W]	-1183940	-1184462	-1184900[W]	-1182692	-1184809	-1184876	
ab71-20-100.wecnf	-1813477	-1804565	N/A	-1483584	-1331314	-1954662	-1966000[W]	-1966000[W]	-1941692	N/A	-1966000[W]	-1966000[W]	-1961941	-1961099	-1964442	-1960641	-1955641	-1965376	
ab72-40-100.wecnf	-1122172	-1116259	-1200307	-997994	-604457	-1192338	-1200310[W]	-1200310[W]	-1196644	-1200307	-1200310[W]	-1200310[W]	-1199041	-1197643	-1200248	-1200179	-1200248	-1200111	
academictimetablebig.wecnf	914	933	N/A	428	427[W]	638	N/A	N/A	451	N/A	N/A	N/A	432	434	429	459	444	460	
academictimetablesmall.wecnf	54	31	N/A	30	0[W]	13	N/A	2690	1	N/A	0[W]	12	0[W]	0[W]	0[W]	32	26	1	
acc-tight2.wecnf	0[W]	0[W]	0[W]	1	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
acc-tight4.wecnf	0[W]	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
acc-tight5.wecnf	0[W]	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
acc-tight6.wecnf	0[W]	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
air01.wecnf	6796[W]	6796[W]	6796[W]	10298	6796[W]	6796[W]	6796[W]	6796[W]	6804	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	
air02.wecnf	8302	8174	N/A	7810[W]	7810[W]	7810[W]	7810[W]	7810[W]	7960	7810[W]	7810[W]	7810[W]	7962	7810[W]	7810[W]	7960	7960	7960	
air03.wecnf	371356	371500	340160[W]	N/A	340160[W]	344766	340160[W]	340160[W]	372996	340160[W]	340160[W]	340160[W]	342922	344954	343372	374662	369624	369840	
air04.wecnf	66634	65628	56137[W]	63910	56137[W]	69662	56137[W]	56137[W]	59660	56137[W]	56137[W]	56137[W]	58279	59800	57770	59457	59718	58210	
air05.wecnf	32310	33379	N/A	N/A	26374[W]	31684	26374[W]	26374[W]	27429	26374[W]	26374[W]	26374[W]	27074	27187	26588	27232	26609	26984	
air06.wecnf	58541	58599	49649[W]	N/A	49649[W]	56914	49649[W]	49649[W]	51394	49649[W]	49649[W]	49649[W]	50084	50545	49753	50729	50447	50632	
app2-1.wecnf	75547	75547	75507[W]	362862	75507[W]	75542	75509	75509	75546	75507[W]	75509	75509	75542	75543	75537	75544	75540	75535	
app2-2.wecnf	612918	612918	612913[W]	2700452	612913[W]	612917	612933	612933	612922	612913[W]	612933	612933	612918	612918	612926	612918	612918	612918	
bab1.wecnf	N/A	N/A	N/A	-1941668	-3623713	-3615812	-3923810[W]	-3923810[W]	-3483322	N/A	-3923810[W]	-3923810[W]	-3794503	-3791965	-3833679	-3711570	-3688399	-3692937	
bab2.wecnf	N/A	N/A	N/A	-1123377	N/A	N/A	-4936380	-4958770	N/A	N/A	-4968600[W]	-4965200	N/A	N/A	N/A	N/A	N/A	N/A	
bab3.wecnf	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-9118510[W]	-9117580	N/A	N/A	N/A	N/A	N/A	N/A	
bab5.wecnf	N/A	N/A	-12334326	-7956138	822284	-10880648	-12414000[W]	-12414000[W]	-9546226	-12408982	-12414000[W]	-12414000[W]	-11598573	-11151704	-11300670	-9500341	-10601872	-10318359	
bab6.wecnf	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-6173180	N/A	N/A	-6174750[W]	-6174750[W]	N/A	N/A	N/A	N/A	N/A	N/A	
bley_xl1.wecnf	230	220	190[W]	190[W]	190[W]	190[W]	190[W]	190[W]	220	190[W]	190[W]	190[W]	200	205	190[W]	200	200	200	
bm23.wecnf	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	
bnatt350.wecnf	N/A	N/A	0[W]	N/A	0[W]	N/A	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	N/A	N/A	N/A	N/A	N/A	N/A	
bnatt400.wecnf	N/A	N/A	N/A	1[W]	N/A	N/A	N/A	N/A	N/A	1[W]	1[W]	1[W]	N/A	N/A	N/A	N/A	N/A	N/A	
cap6000.wecnf	-1542702	-1575730	-2451377[W]	-844599	-987049	-2282822	-2451260	-2451250	-1558189	-2451377[W]	-2451300	-2451300	-1771204	-1682346	-1834388	-1615350	-1721212	-1761912	
cdc7-4-3-2.wecnf	-284	-284	-227	-142	-232	-292	-258	-258	-291	-232	-258	-258	-293[W]	-291	-293[W]	-291	-292	-293[W]	
chromaticindex1024-7.wecnf	4[W]	4[W]	N/A	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	N/A	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex128-5.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex256-8.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex32-8.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex512-7.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
circ10-3.wecnf	354	352	N/A	312	392	310	N/A	402	304	N/A	N/A	N/A	280	304	292	290	288	272[W]	
co-100.wecnf	1545179	1542264	N/A	1559841	2731136	1501246	1474500[W]	1474500[W]	1572367	N/A	1474500[W]	1474500[W]	1492793	1492717	1494717	1494429	1494331	1497378	
