Instance    LS-PBO	DeciLS-PBO	SCIP	Hybrid	PBO-IHS	NuPBO	Gurobi-comp(1t)	Gurobi-heur(1t)	DLS-PBO	FiberSCIP	Gurobi-comp(32t)	Gurobi-heur(32t)	ParLS-PBO(32t)	
2club200v15p5scn.wecnf	-70[W]	-70[W]	-61	-69	-35	-70[W]	-70[W]	-69	-70[W]	-69	-70[W]	-70[W]	-70[W]	
a2864-99blp.wecnf	-257[W]	-257[W]	-71	-75	N/A	-257[W]	-83	-83	-257[W]	-72	-83	-83	-257[W]	
ab51-40-100.wecnf	-1167765	-1176729	N/A	-1114703	-1102619	-1277479	-1285220[W]	-1285220[W]	-1275524	N/A	-1285220[W]	-1285210	-1284807	
ab67-40-100.wecnf	-1099606	-1117762	N/A	-877846	-906417	-1167641	-1169070	-1169070	-1167780	N/A	-1169070	-1169070	-1169071[W]	
ab69-40-100.wecnf	-1118575	-1124796	N/A	-968876	-916543	-1183131	-1184900[W]	-1184900[W]	-1183594	N/A	-1184900[W]	-1184900[W]	-1184900[W]	
ab71-20-100.wecnf	-1853402	-1861915	N/A	-1671597	-1747936	-1958640	-1966000	-1966000	-1948402	N/A	-1966000	-1966000	-1966004[W]	
ab72-40-100.wecnf	-1132937	-1150850	-1200307	-1028084	-913311	-1197956	-1200310[W]	-1200310[W]	-1197424	-1200307	-1200310[W]	-1200310[W]	-1200307	
academictimetablebig.wecnf	679	685	N/A	428	427[W]	586	N/A	N/A	435	N/A	N/A	N/A	427[W]	
academictimetablesmall.wecnf	12	8	N/A	30	0[W]	2	0[W]	1	0[W]	30	0[W]	0[W]	0[W]	
acc-tight2.wecnf	0[W]	0[W]	0[W]	1	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
acc-tight4.wecnf	0[W]	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
acc-tight5.wecnf	0[W]	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
acc-tight6.wecnf	0[W]	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	0[W]	
air01.wecnf	6796[W]	6796[W]	6796[W]	10298	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	6796[W]	
air02.wecnf	8158	8174	N/A	7810[W]	7810[W]	7810[W]	7810[W]	7810[W]	7960	7810[W]	7810[W]	7810[W]	7810[W]	
air03.wecnf	369770	370282	340160[W]	340160[W]	340160[W]	343570	340160[W]	340160[W]	373976	340160[W]	340160[W]	340160[W]	343086	
air04.wecnf	64908	64614	56137[W]	60988	56137[W]	69102	56137[W]	56137[W]	58069	56137[W]	56137[W]	56137[W]	57081	
air05.wecnf	31575	31496	N/A	30022	26374[W]	29638	26374[W]	26374[W]	27000	26374[W]	26374[W]	26374[W]	26951	
air06.wecnf	57431	57245	49649[W]	56512	49649[W]	55261	49649[W]	49649[W]	50689	49649[W]	49649[W]	49649[W]	49753	
app2-1.wecnf	75546	75546	75507[W]	361379	75507[W]	75538	75509	75509	75545	75507[W]	75509	75509	75525	
app2-2.wecnf	612918	612918	612913[W]	612928	612913[W]	612917	612933	612933	612922	612913[W]	612933	612933	612918	
bab1.wecnf	-3481794	-3409787	N/A	-3131045	-3623713	-3715974	-3923810[W]	-3923810[W]	-3612910	N/A	-3923810[W]	-3923810[W]	-3888913	
bab2.wecnf	N/A	N/A	N/A	-1778672	N/A	N/A	-4969040	-4969070[W]	N/A	N/A	-4969070[W]	-4969070[W]	N/A	
bab3.wecnf	N/A	N/A	N/A	N/A	N/A	N/A	-9113670	-9117590	N/A	N/A	-9120100[W]	-9120100[W]	N/A	
bab5.wecnf	N/A	N/A	N/A	-9633726	822284	-11147739	-12414000	-12414000	-10488723	-12414004[W]	-12414000	-12414000	-11970138	
bab6.wecnf	N/A	N/A	N/A	N/A	N/A	N/A	-6174750[W]	-6174750[W]	N/A	-5981038	-6174750[W]	-6174750[W]	N/A	
bley_xl1.wecnf	210	210	190[W]	190[W]	190[W]	190[W]	190[W]	190[W]	225	190[W]	190[W]	190[W]	200	
bm23.wecnf	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	34[W]	
bnatt350.wecnf	N/A	N/A	0[W]	N/A	0[W]	N/A	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	N/A	
bnatt400.wecnf	N/A	N/A	1[W]	1[W]	N/A	N/A	1[W]	1[W]	N/A	1[W]	1[W]	1[W]	N/A	
cap6000.wecnf	-1602267	-1592230	-2451377[W]	-1282383	-1513732	-2282822	-2451260	-2451250	-1594065	-2451377[W]	-2451300	-2451300	-1993572	
cdc7-4-3-2.wecnf	-286	-286	-227	-243	-232	-293[W]	-258	-258	-292	-232	-259	-259	-293[W]	
chromaticindex1024-7.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex128-5.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex256-8.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex32-8.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	
chromaticindex512-7.wecnf	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	N/A	4[W]	4[W]	4[W]	
circ10-3.wecnf	338	340	N/A	290	392	302	N/A	334	290	N/A	310	310	272[W]	
co-100.wecnf	1523957	1520886	N/A	1559841	1474504	1491808	1474500[W]	1474500[W]	1534537	N/A	1474500[W]	1474500[W]	1481758	
cod105.wecnf	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	-12[W]	
cov1075.wecnf	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	20[W]	
cracpb1.wecnf	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	22199[W]	
cvs08r139-94.wecnf	-115	-115	-116[W]	-103	-109	-116[W]	-116[W]	-116[W]	-116[W]	-116[W]	-116[W]	-116[W]	-116[W]	
cvs16r106-72.wecnf	-79	-80	-80	-72	-73	-81[W]	-81[W]	-81[W]	-81[W]	-81[W]	-81[W]	-81[W]	-81[W]	
cvs16r128-89.wecnf	-96	-97[W]	-95	-86	-86	-97[W]	-96	-97[W]	-97[W]	-97[W]	-97[W]	-97[W]	-97[W]	
cvs16r70-62.wecnf	-42[W]	-42[W]	-42[W]	-39	-39	-42[W]	-42[W]	-42[W]	-42[W]	-42[W]	-42[W]	-42[W]	-42[W]	
cvs16r89-60.wecnf	-65[W]	-65[W]	N/A	-61	-58	-65[W]	-65[W]	-65[W]	-65[W]	-65[W]	-65[W]	-65[W]	-65[W]	
datt256.wecnf	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
disctom.wecnf	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	-5000[W]	
ds-big.wecnf	4492322	4412702	N/A	4186241	5299888	2166219	381806	366702	4553613	N/A	359977	334649[W]	1381750	
ds.wecnf	2336627	2237473	1725681	5233553	7787477	1870728	602694	970165	1933549	1725335	456329	414103[W]	1430169	
eil33-2.wecnf	406100	405589	383369[W]	383369[W]	383369[W]	383369[W]	383369[W]	383369[W]	892047	383369[W]	383369[W]	383369[W]	383369[W]	
eilA101-2.wecnf	60203	53233	N/A	N/A	77193	43591	39852[W]	39852[W]	50278	N/A	39852[W]	39852[W]	44176	
eilB101.wecnf	1871132	1847120	1726630[W]	1813907	1726630[W]	1754345	1726630[W]	1726630[W]	5298983	1726630[W]	1726630[W]	1726630[W]	1726630[W]	
eilC76-2.wecnf	115090	115636	N/A	101145	91440[W]	103254	91440[W]	91440[W]	163141	N/A	91440[W]	91440[W]	100386	
enigma.wecnf	N/A	N/A	0[W]	1	0[W]	0[W]	0[W]	0[W]	N/A	0[W]	0[W]	0[W]	N/A	
ex1010-pi.wecnf	267	266	249	432	283	246	239	236	238	243	237	240	235[W]	
ex9.wecnf	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	81[W]	
f2000.wecnf	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
f2gap201600.wecnf	76453[W]	76453[W]	76453[W]	N/A	N/A	76714	76453[W]	76453[W]	76453[W]	76453[W]	76453[W]	76453[W]	76453[W]	
f2gap401600.wecnf	82307[W]	82307[W]	82307[W]	N/A	N/A	82307[W]	82307[W]	82307[W]	82307[W]	82307[W]	82307[W]	82307[W]	82307[W]	
f2gap40400.wecnf	20772[W]	20772[W]	20772[W]	N/A	N/A	20772[W]	20772[W]	20772[W]	20772[W]	20772[W]	20772[W]	20772[W]	20772[W]	
f2gap801600.wecnf	86679[W]	86679[W]	86679[W]	N/A	N/A	86679[W]	86679[W]	86679[W]	86679[W]	86679[W]	86679[W]	86679[W]	86679[W]	
fast0507.wecnf	185	185	N/A	256	174[W]	181	174[W]	174[W]	175	174[W]	174[W]	174[W]	175	
glass-sc.wecnf	23[W]	23[W]	23[W]	23[W]	25	23[W]	23[W]	23[W]	23[W]	23[W]	23[W]	23[W]	23[W]	
go19.wecnf	84[W]	84[W]	84[W]	87	84[W]	84[W]	84[W]	84[W]	84[W]	84[W]	84[W]	84[W]	84[W]	
graph20-20-1rand.wecnf	-9[W]	-9[W]	-9[W]	-9[W]	-8	-9[W]	-9[W]	-9[W]	-9[W]	-9[W]	-9[W]	-9[W]	-9[W]	
graph20-80-1rand.wecnf	-6[W]	-6[W]	-1	-6[W]	-6[W]	-6[W]	-6[W]	-6[W]	-6[W]	-1	-6[W]	-6[W]	-6[W]	
graph40-20-1rand.wecnf	-14	-14	-1	-15[W]	-6	-14	-14	-15[W]	-15[W]	-1	-15[W]	-15[W]	-15[W]	
graph40-40-1rand.wecnf	-6	-7	-1	N/A	-5	-9[W]	-9[W]	-9[W]	-8	-1	-8	-8	-9[W]	
graph40-80-1rand.wecnf	-1	-1	-1	N/A	-2	-5	-4	-4	-6	0	-4	-4	-7[W]	
hanoi5.wecnf	N/A	N/A	N/A	1931[W]	1931[W]	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
harp2.wecnf	N/A	N/A	N/A	-7826142	-8313169	-8270046	-8368970	-8369000[W]	-7756518	-8369000[W]	-8369000[W]	-8369000[W]	-8279329	
iis-100-0-cov.wecnf	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	29[W]	
iis-bupa-cov.wecnf	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	36[W]	
iis-glass-cov.wecnf	21[W]	21[W]	21[W]	22	21[W]	21[W]	21[W]	21[W]	21[W]	21[W]	21[W]	21[W]	21[W]	
iis-hc-cov.wecnf	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	17[W]	
iis-pima-cov.wecnf	34	34	33[W]	33[W]	33[W]	33[W]	33[W]	33[W]	33[W]	33[W]	33[W]	33[W]	33[W]	
irp.wecnf	208908	208675	203907[W]	204144	203907[W]	203975	203919	203907[W]	235230	N/A	203907[W]	203907[W]	203962	
ivu06-big.wecnf	N/A	N/A	37868	N/A	137148	40267	28985	28986	N/A	N/A	29909	27579[W]	33357	
ivu06.wecnf	104213	105165	N/A	N/A	327737	112140	83311	79072	82979	N/A	77586	76452[W]	86357	
ivu52.wecnf	8142329	N/A	N/A	N/A	N/A	1911058	615340	614995	7593020	N/A	614872[W]	614872[W]	3100278	
ivu59.wecnf	N/A	N/A	167519	N/A	500464	166163	1226650	1226650	N/A	138803	58012	46882[W]	129005	
l152lav.wecnf	4940	4956	4722[W]	4901	4722[W]	4954	4722[W]	4722[W]	4871	4722[W]	4722[W]	4722[W]	4722[W]	
lp4l.wecnf	3015	3010	2967[W]	3085	2967[W]	3175	2967[W]	2967[W]	3014	2967[W]	2967[W]	2967[W]	2967[W]	
lseu.wecnf	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	1120[W]	
m100n500k4r1.wecnf	-24	-24	-24	-23	-19	-25[W]	-25[W]	-25[W]	-24	-24	-25[W]	-25[W]	-25[W]	
macrophage.wecnf	378	377	374[W]	374[W]	374[W]	374[W]	374[W]	374[W]	374[W]	374[W]	374[W]	374[W]	374[W]	
methanosarcina.wecnf	2736	2735	2784	3404	3828	2729	2735	2731	2724	2836	2723[W]	2723[W]	2723[W]	
mine-166-5.wecnf	-176231452	-176282860	-176967663	-167812465	-176967663	-176575493	-176968000[W]	-176968000[W]	-170270465	-176967663	-176968000[W]	-176968000[W]	-176350481	
mine-90-10.wecnf	-196539724	-195545775	-212908642	-192002821	-212908642	-212651919	-212909000[W]	-212909000[W]	-199710288	-212908642	-212909000[W]	-212909000[W]	-210097417	
